CardCode,AccNum,FeeNum,MonDeal,DealerNum,DealTime,StaNum,OptNum,RecFlag,DealPeriodNo
117,10276,35,0,0,2018-09-28 15:26:32.053,1,1001,1,-1
118,10276,35,0,0,2018-09-28 15:26:48.657,1,1001,1,-1
120,10190,1,0,0,2018-09-28 15:31:32.897,1,1001,1,-1
121,10184,1,0,0,2018-09-28 15:33:19.247,1,1001,1,-1
121,10184,35,0,0,2018-09-28 15:33:39.830,1,1001,1,-1
122,10184,35,0,0,2018-09-28 15:33:49.457,1,1001,1,-1
124,10188,1,0,0,2018-09-28 15:35:17.177,1,1001,1,-1
125,10166,1,0,0,2018-09-28 15:40:16.233,1,1001,1,-1
126,10168,1,0,0,2018-09-28 15:40:42.520,1,1001,1,-1
127,10031,1,0,0,2018-09-28 15:41:24.427,1,1001,1,-1
127,10031,35,0,0,2018-09-28 15:41:47.173,1,1001,1,-1
129,10173,1,0,0,2018-09-28 15:43:07.070,1,1001,1,-1
130,10169,1,0,0,2018-09-28 15:43:55.940,1,1001,1,-1
131,10174,1,0,0,2018-09-28 15:47:31.507,1,1001,1,-1
132,10164,1,0,0,2018-09-28 15:47:49.570,1,1001,1,-1
132,10164,35,0,0,2018-09-28 15:48:12.433,1,1001,1,-1
134,10163,1,0,0,2018-09-28 15:48:45.540,1,1001,1,-1
134,10163,35,0,0,2018-09-28 15:49:08.860,1,1001,1,-1
136,10293,1,0,0,2018-09-28 15:53:12.710,1,1001,1,-1
107,10056,27,0,0,2018-09-28 15:53:22.013,1,1001,1,-1
136,10293,35,0,0,2018-09-28 15:53:35.930,1,1001,1,-1
138,10285,1,0,0,2018-09-28 15:53:57.340,1,1001,1,-1
139,10286,1,0,0,2018-09-28 15:54:19.813,1,1001,1,-1
139,10286,35,0,0,2018-09-28 15:54:47.460,1,1001,1,-1
141,10287,1,0,0,2018-09-28 15:55:10.530,1,1001,1,-1
141,10287,35,0,0,2018-09-28 15:55:37.843,1,1001,1,-1
143,10114,1,0,0,2018-09-28 15:57:19.670,1,1001,1,-1
143,10114,35,0,0,2018-09-28 15:57:46.130,1,1001,1,-1
145,10289,1,0,0,2018-09-28 16:01:46.140,1,1001,1,-1
146,10292,1,0,0,2018-09-28 16:02:42.410,1,1001,1,-1
146,10292,35,0,0,2018-09-28 16:03:03.863,1,1001,1,-1
148,10288,1,0,0,2018-09-28 16:03:36.970,1,1001,1,-1
149,10066,1,0,0,2018-09-28 16:04:31.740,1,1001,1,-1
5,2,2,0,0,2018-09-28 16:09:54.560,1,1001,1,-1
150,10066,34,0,0,2018-09-28 16:10:49.733,1,1001,1,-1
151,10294,1,0,0,2018-09-28 16:11:54.687,1,1001,1,-1
151,10294,35,0,0,2018-09-28 16:12:17.277,1,1001,1,-1
153,10066,34,0,0,2018-09-28 16:13:57.640,1,1001,1,-1
153,10066,35,0,0,2018-09-28 16:14:19.990,1,1001,1,-1
155,10020,1,0,0,2018-09-28 16:18:19.130,1,1001,1,-1
156,10016,1,0,0,2018-09-28 16:21:46.057,1,1001,1,-1
157,10014,1,0,0,2018-09-28 16:22:16.993,1,1001,1,-1
157,10014,35,0,0,2018-09-28 16:22:46.433,1,1001,1,-1
