sn_num,name,remark_pictures_text,unit_id
1007112,1层南电井北侧箱第二排商户B,http://cdn-app.diandingding.com/upload/15831118536/aa2bc246-f4b2-11e6-b3d2-00163e012235,3414
1007113,4层南电井南侧箱第三排商户D,http://cdn-app.diandingding.com/upload/15831118536/578d74ec-f257-11e6-b3d2-00163e012235,3414
1007114,1层南电井应急照明右侧,http://cdn-app.diandingding.com/upload/15831118536/ce844b1a-f267-11e6-b3d2-00163e012235,3414
1007115,3层南电井北侧箱公共照明A,http://cdn-app.diandingding.com/upload/15831118536/f664074a-f25f-11e6-b3d2-00163e012235,3414
1007117,3层北电井北侧箱公共照明第二排,http://cdn-app.diandingding.com/upload/15831118536/7a46b8e4-f25d-11e6-b3d2-00163e012235,3414
1007118,-1层北电井北侧箱第二排商户C,http://cdn-app.diandingding.com/upload/15831118536/ef295886-f269-11e6-b3d2-00163e012235,3414
1007119,2层北电井北侧箱第二排商户,http://cdn-app.diandingding.com/upload/15831118536/c4e1b810-f265-11e6-b3d2-00163e012235,3414
1007121,2层南电井北侧箱第三排商户C,http://cdn-app.diandingding.com/upload/15831118536/26671f00-f264-11e6-b3d2-00163e012235,3414
1007122,3层南电井南侧箱公共照明A,http://cdn-app.diandingding.com/upload/15831118536/da30b7ca-f260-11e6-b3d2-00163e012235,3414
1007125,电动卷闸西,http://cdn-app.diandingding.com/upload/13088651111/1d51b2ca-b548-11e7-8eee-00163e012235,23
1007127,中区3排1照明,"http://cdn-app.diandingding.com/upload/13088651111/d8122ff8-f28e-11e7-b117-00163e012235,http://cdn-app.diandingding.com/upload/13088651111/d8123c3c-f28e-11e7-b117-00163e012235",23
1007138,北区通道照明,"http://cdn-app.diandingding.com/upload/13088651111/3dc1a3e8-b53a-11e7-8c5e-00163e012235,http://cdn-app.diandingding.com/upload/13088651111/3dc19880-b53a-11e7-8c5e-00163e012235",23
1007139,消控室控制柜,"http://cdn-app.diandingding.com/upload/13088651111/dd0d7fe0-b539-11e7-82a9-00163e012235,http://cdn-app.diandingding.com/upload/13088651111/dd0d8864-b539-11e7-82a9-00163e012235",23
